date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:03	14477/14477	U-----	200	untouched ('')	application/javascript	etag:W/%221cda7150ad82bbc221d436f48d6d665f%22	https://www.kiprotichkimutai.dev/_next/static/chunks/865-e0a1a37519619900.js	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/static/chunks/865-e0a1a37519619900.js	(from https://www.kiprotichkimutai.dev/)
21:53:26	124156/124156	U-----	200	untouched ('')	application/javascript	etag:W/%2212b569e3effc76c47178ac1bb1d6ea27%22	https://www.kiprotichkimutai.dev/_next/static/chunks/483-9628a076b96b9dd2.js	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/static/chunks/483-9628a076b96b9dd2.js	(from https://www.kiprotichkimutai.dev/)
21:53:27	48261/48261	U-----	200	untouched ('')	application/javascript	etag:W/%2270037bb370edfffcf281efbfb2d6d778%22	https://www.kiprotichkimutai.dev/_next/static/chunks/pages/index-fef647812b5380ea.js	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/static/chunks/pages/index-fef647812b5380ea.js	(from https://www.kiprotichkimutai.dev/)
21:53:28	77/77	U-----	200	untouched ('')	application/javascript	etag:%22b6652df95db52feb4daf4eca35380933%22	https://www.kiprotichkimutai.dev/_next/static/11Tq7uciXgA_sAFnULsRj/_ssgManifest.js	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/static/11Tq7uciXgA_sAFnULsRj/_ssgManifest.js	(from https://www.kiprotichkimutai.dev/)
21:53:28	2179/2179	U-----	200	untouched ('')	application/javascript	etag:W/%22a1a09ce700181e851dceed9dbad94dc6%22	https://www.kiprotichkimutai.dev/_next/static/11Tq7uciXgA_sAFnULsRj/_buildManifest.js	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/static/11Tq7uciXgA_sAFnULsRj/_buildManifest.js	(from https://www.kiprotichkimutai.dev/)
21:53:52	6881615/6881615	U-----	200	untouched ('')	image/jpeg	etag:%22a3c3ab65b21c271e315af504d29ec8ad%22	https://www.kiprotichkimutai.dev/me.JPG	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/me.JPG	(from https://www.kiprotichkimutai.dev/)
21:53:53	39915/39915	U-----	200	untouched ('')	application/pdf	etag:%2253638b3cf0532b91e7d07ee418fe58dc%22	https://www.kiprotichkimutai.dev/kimutai.pdf	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/kimutai.pdf	(from https://www.kiprotichkimutai.dev/)
21:53:55	435909/435909	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Flaptop-wave.fcec8bb6.png&w=3840&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/laptop-wave5edc.png	(from https://www.kiprotichkimutai.dev/)
21:53:55	6498/6498	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Fhtml.png&w=128&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/htmlceef.png	(from https://www.kiprotichkimutai.dev/)
21:54:20	6012/6012	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Fcss.png&w=128&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/cssae96.png	(from https://www.kiprotichkimutai.dev/)
21:54:20	3131/3131	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Fjavascript.png&w=128&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/javascript69a8.png	(from https://www.kiprotichkimutai.dev/)
21:54:22	10425/10425	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Freact.png&w=128&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/reacta164.png	(from https://www.kiprotichkimutai.dev/)
21:54:22	10714/10714	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Fphoe.png&w=256&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/phoec6a0.png	(from https://www.kiprotichkimutai.dev/)
21:54:47	13640/13640	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Felix.png&w=128&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/elixc75a.png	(from https://www.kiprotichkimutai.dev/)
21:54:47	1375/1375	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%228e061864f388b47f33a1c3780831193e%22	https://www.kiprotichkimutai.dev/next.svg	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/next.svg	(from https://www.kiprotichkimutai.dev/)
21:54:48	4402/4402	U-----	200	untouched ('OK')	text/html	etag:W/%22669c12f2dfe5d3a0793cc07ac3c96ab8%22	https://www.kiprotichkimutai.dev/ticket	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/ticket	(from https://www.kiprotichkimutai.dev/)
21:54:49	4533/4533	U-----	200	untouched ('')	image/png	date:Sun,%2003%20Mar%202024%2015:32:03%20GMT	https://www.kiprotichkimutai.dev/_next/image?url=%2Ftailwind.png&w=128&q=75	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/_next/tailwind2a0b.png	(from https://www.kiprotichkimutai.dev/)
21:55:12	3543596/3543596	U-----	200	untouched ('')	image/jpeg	etag:%228814e3d74a07f530fdd49c6423a85860%22	https://www.kiprotichkimutai.dev/tick2.jpg	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/tick2.jpg	(from https://www.kiprotichkimutai.dev/)
21:55:12	4505/4505	U-----	200	untouched ('OK')	text/html	etag:W/%22c3b09112e028b47921c3c46094399744%22	https://www.kiprotichkimutai.dev/pataride	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/pataride	(from https://www.kiprotichkimutai.dev/)
21:55:12	1822148/1822148	U-----	200	untouched ('')	image/jpeg	etag:%225366525e17a16e86bf31f68f3a61f20a%22	https://www.kiprotichkimutai.dev/car5.jpg	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/car5.jpg	(from https://www.kiprotichkimutai.dev/)
21:55:13	4513/4513	U-----	200	untouched ('OK')	text/html	etag:W/%22601e2aca7ff7e51010106fca8cbd0a58%22	https://www.kiprotichkimutai.dev/lipiangoma	C:/Users/TRACY/Desktop/portfolio/www.kiprotichkimutai.dev/lipiangoma	(from https://www.kiprotichkimutai.dev/)
